Dll,Assembly,Service,Package,Type,Interface
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsPersistHierarchyItem
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsPersistHierarchyItem2
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsHierarchyDropDataSource
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsHierarchyDropDataSource2
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsHierarchyDropDataTarget
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsHierarchyDeleteHandler
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.Shell.Interop.IVsTrackProjectDocumentsEvents2
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsCreateAggregateProject,,,Microsoft.VisualStudio.TextManager.Interop.IVsFileBackup
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsProfileDataManager,,,Microsoft.VisualStudio.Shell.Interop.IVsProfileDataManager
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,,SVsProfileDataManager,,,Microsoft.VisualStudio.Shell.Interop.IVsPathVariableResolver
